VITORIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
General2015;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
8   Feb.;;0;0;1;0;0;;0;0;;0;;0;2;4;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;8;0;;
9   Feb.;;0;0;1;0;0;;0;0;;0;;0;4;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7;1;;
10 Feb.;;0;0;1;0;0;;0;0;;0;;0;1;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;1;0;0;0;;0;0;;0;0;0;6;0;;
11 Feb.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;1;5;1;;
12 Feb.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;2;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;4;1;;
13 Feb.;;0;0;1;0;0;;0;0;;0;;0;6;8;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;16;0;;
14 Feb.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;;
15 Feb.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;;
16 Feb.;;0;0;0;0;0;;0;0;;0;;0;1;4;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;1;0;0;0;0;0;;0;0;;0;0;0;7;0;;
17 Feb.;;0;0;1;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
18 Feb.;;0;0;0;0;0;;0;0;;0;;0;8;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;9;0;;
19 Feb.;;0;0;0;0;0;;0;0;;0;;0;4;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;1;0;0;0;;0;0;;0;0;0;5;0;;
20 Feb.;;0;0;4;0;0;;0;0;;0;;0;14;21;;0;;0;0;0;;0;;;0;1;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;41;1;;
21 Feb.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;;
22 Feb.;;0;0;1;0;0;;0;0;;0;;0;2;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
23 Feb.;;0;0;1;0;0;;0;0;;0;;0;1;9;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;12;0;;
24 Feb.;;0;0;1;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
25 Feb.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;;
26 Feb.;;0;0;1;0;0;;0;0;;0;;0;0;5;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6;0;;
27 Feb.;;0;0;3;0;0;;0;0;;0;;0;1;9;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;14;0;;
28 Feb.;;0;0;4;0;0;;0;0;;0;;0;15;17;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;37;0;;
1 Mar.;;0;0;30;0;0;;0;0;;0;;0;22;149;;0;;0;0;13;;0;;;0;0;0;;1;0;;1;0;0;3;0;0;0;0;0;;0;0;;3;0;0;222;1;;
2 Mar.;;0;0;10;0;0;;0;0;;0;;0;3;16;;0;;0;0;1;;0;;;0;0;0;;0;0;;1;0;0;1;0;0;0;0;0;;0;0;;0;0;0;32;1;;
3 Mar.;;0;0;34;0;0;;0;0;;0;;0;6;36;;0;;0;0;2;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;79;0;;
4 Mar.;;0;0;18;0;0;;0;0;;0;;0;3;17;;0;;0;0;1;;0;;;0;0;0;;0;0;;2;0;0;0;0;1;0;0;1;;0;0;;0;0;0;43;0;;
5 Mar.;;0;0;104;0;0;;0;0;;0;;0;16;16;;0;;0;0;8;;0;;;0;0;0;;1;0;;5;0;0;1;4;0;0;0;1;;0;0;;0;0;0;156;0;;
6 Mar.;;0;0;32;0;0;;0;0;;0;;0;20;5;;0;;0;0;6;;0;;;0;0;0;;1;0;;0;0;0;1;1;0;0;0;0;;1;0;;2;0;1;70;0;;
7 Mar.;;0;0;77;0;0;;0;0;;0;;0;11;49;;0;;0;0;3;;0;;;0;0;0;;1;0;;7;0;0;0;0;0;0;0;1;;0;0;;3;0;1;153;0;;
8 Mar.;;0;0;49;0;0;;0;0;;0;;0;9;70;;0;;0;0;9;;0;;;0;0;0;;1;0;;16;0;0;0;1;0;0;0;1;;0;0;;9;0;2;167;0;;
9 Mar.;;0;0;83;0;0;;0;0;;0;;0;0;28;;0;;0;0;21;;0;;;0;0;0;;2;0;;18;0;0;1;15;0;0;0;3;;0;0;;18;0;0;189;1;;
10 Mar.;;1;0;63;0;0;;0;0;;0;;0;2;30;;0;;0;0;32;;0;;;0;0;0;;1;0;;2;0;0;0;76;0;0;0;3;;0;0;;19;0;0;229;0;;
11 Mar.;;0;0;44;0;0;;0;0;;0;;0;6;71;;0;;0;0;13;;0;;;0;0;0;;0;0;;3;0;0;0;134;0;0;1;0;;0;0;;22;0;1;295;0;;
12 Mar.;;0;0;65;0;0;;0;0;;0;;0;7;30;;0;;0;0;12;;0;;;0;0;0;;1;0;;113;0;0;1;117;0;0;0;4;;0;0;;3;0;0;353;0;;
13 Mar.;;0;0;5;0;0;;0;0;;0;;0;0;34;;0;;0;0;6;;0;;;0;0;0;;1;0;;13;0;0;0;24;0;0;0;1;;0;0;;1;0;0;85;0;;
14 Mar.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;1;0;0;0;0;;0;0;;0;0;0;3;1;;
15 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;2;;0;;0;0;3;;0;;;0;0;0;;0;0;;0;0;0;0;1;0;0;0;0;;0;0;;0;0;0;6;0;;
16 Mar.;;0;0;5;0;0;;0;0;;0;;0;8;29;;0;;0;0;20;;0;;;0;0;0;;1;0;;3;0;0;0;113;0;0;0;1;;0;0;;2;0;1;183;0;;
17 Mar.;;0;0;6;0;0;;0;0;;0;;0;5;80;;0;;0;0;22;;0;;;0;0;0;;1;0;;1;0;1;0;70;0;0;0;1;;0;0;;3;0;3;193;1;;
18 Mar.;;0;0;13;0;0;;0;0;;0;;0;0;11;;1;;0;0;31;;0;;;0;0;0;;1;0;;6;0;0;0;19;0;0;0;6;;0;0;;3;0;1;92;1;;
19 Mar.;;0;0;7;0;0;;0;0;;0;;0;0;7;;0;;0;0;20;;0;;;0;0;0;;1;0;;6;0;0;0;2;0;0;0;0;;0;0;;1;0;0;44;1;;
20 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;5;;0;;0;0;6;;0;;;0;0;0;;0;0;;6;0;0;0;1;0;0;0;0;;0;0;;0;0;0;19;0;;
21 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;;
22 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;3;;0;;0;0;1;;0;;;0;0;0;;0;0;;3;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7;0;;
23 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;1;;
24 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;4;0;0;0;0;0;0;0;1;;0;0;;0;0;0;5;0;;
25 Mar.;;0;0;5;0;0;;0;0;;0;;0;0;2;;0;;0;0;7;;0;;;0;0;0;;0;0;;17;0;0;0;1;0;0;0;1;;0;0;;0;0;0;33;0;;
26 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;4;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6;0;;
27 Mar.;;0;0;1;0;0;;1;0;;0;;0;0;12;;0;;0;0;11;;0;;;0;0;0;;1;0;;11;0;0;0;0;0;0;0;1;;0;0;;0;0;1;39;0;;
28 Mar.;;0;0;17;0;0;;0;0;;0;;0;0;21;;0;;0;0;38;;0;;;0;0;0;;0;0;;27;0;0;0;0;0;0;0;5;;0;0;;0;0;0;108;1;;
29 Mar.;;1;0;28;0;0;;1;0;;0;;0;1;70;;0;;0;0;130;;0;;;0;0;0;;1;0;;438;0;0;1;5;0;0;0;6;;0;0;;0;0;0;682;1;;
30 Mar.;;1;0;17;0;1;;1;0;;0;;0;1;140;;0;;0;0;103;;0;;;0;0;0;;2;0;;223;0;0;1;1;0;0;0;10;;0;0;;1;0;2;504;0;;
31 Mar.;;0;0;9;0;0;;0;0;;0;;0;1;55;;0;;0;0;74;;0;;;0;0;0;;3;0;;77;0;0;1;16;0;0;0;10;;0;0;;0;0;0;246;0;;
1  Abr.;;1;0;1;0;0;;1;0;;0;;0;0;23;;0;;0;1;28;;0;;;0;0;0;;1;0;;63;0;0;0;4;0;0;0;3;;0;0;;0;0;0;126;0;;
2  Abr.;;1;0;1;0;1;;1;0;;0;;0;0;10;;0;;0;0;49;;0;;;0;0;0;;1;0;;27;0;0;1;13;0;0;0;7;;0;0;;0;0;1;113;0;;
3  Abr.;;1;0;2;0;1;;0;0;;0;;0;0;60;;0;;0;0;19;;0;;;0;0;0;;2;0;;13;0;0;0;11;0;0;0;1;;0;0;;0;0;1;111;0;;
4  Abr.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;3;;0;;;0;0;0;;0;0;;4;0;0;1;0;0;0;0;0;;0;0;;0;0;0;9;0;;
5  Abr.;;16;0;1;0;3;;2;0;;0;;0;0;14;;0;;0;0;47;;0;;;0;0;0;;11;0;;128;0;0;3;33;3;0;1;9;;0;0;;1;0;0;272;0;;
6  Abr.;;2;0;0;0;3;;1;0;;0;;0;0;2;;0;;0;1;55;;0;;;0;1;0;;5;0;;21;0;1;1;17;0;0;0;7;;0;0;;0;0;1;118;0;;
7  Abr.;;1;0;3;0;16;;2;0;;0;;0;0;113;;1;;2;0;105;;0;;;0;1;0;;23;0;;85;2;28;5;55;3;0;1;21;;0;0;;1;0;5;473;1;;
8  Abr.;;2;0;1;0;21;;1;0;;0;;0;0;23;;1;;1;1;52;;0;;;0;0;0;;16;0;;82;0;3;2;33;0;0;0;17;;0;0;;0;0;4;260;3;;
9  Abr.;;0;0;0;0;20;;0;0;;0;;0;0;14;;0;;1;0;43;;0;;;0;0;0;;5;0;;32;0;1;1;18;0;0;0;5;;0;0;;0;0;4;144;0;;
10 Abri.;;1;0;0;0;15;;0;0;;0;;0;0;2;;1;;0;0;9;;0;;;0;0;0;;4;0;;23;0;1;1;14;1;0;0;3;;0;0;;0;0;1;76;1;;
11 Abri.;;0;0;0;0;9;;1;0;;0;;0;0;3;;0;;0;0;14;;0;;;0;0;0;;3;0;;8;0;32;1;3;1;0;0;1;;0;0;;0;0;0;76;0;;
12 Abri.;;0;0;0;0;9;;1;0;;0;;0;0;1;;1;;0;0;5;;1;;;0;0;0;;3;0;;3;0;5;1;0;0;0;1;1;;0;0;;0;0;0;32;0;;
13 Abri.;;1;0;0;0;54;;1;0;;0;;0;0;33;;2;;0;0;22;;0;;;0;1;0;;20;0;;87;3;172;3;28;3;0;0;7;;0;0;;0;0;0;437;1;;
14 Abri.;;1;0;0;0;82;;0;0;;0;;0;0;18;;3;;1;0;35;;0;;;0;1;0;;16;0;;115;6;514;8;13;4;0;0;26;;0;0;;0;0;9;852;3;;
15 Abri.;;1;1;0;0;90;;0;0;;0;;1;0;31;;4;;0;0;39;;1;;;0;0;0;;16;0;;64;7;400;5;8;5;0;0;19;;0;0;;0;0;28;720;2;;
16 Abri.;;1;0;0;0;3;;0;0;;0;;0;0;19;;0;;1;0;9;;0;;;0;0;0;;7;0;;7;2;374;1;1;1;0;0;7;;0;0;;0;0;1;434;1;;
17 Abri.;;0;0;0;0;7;;1;0;;0;;1;0;6;;0;;0;0;4;;0;;;0;0;0;;3;0;;2;1;89;0;1;1;0;0;3;;0;0;;0;0;1;120;0;;
18 Abri.;;0;0;0;0;14;;0;0;;0;;0;0;9;;0;;0;0;5;;0;;;0;0;0;;2;0;;7;1;227;0;0;15;1;0;3;;0;0;;0;0;3;287;1;;
19 Abri.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;1;0;3;0;0;2;0;0;0;;0;0;;0;0;0;7;1;;
20 Abri.;;2;0;0;0;109;;1;0;;0;;1;0;13;;0;;0;0;5;;3;;;0;0;0;;4;0;;16;4;257;4;1;82;0;4;3;;0;0;;0;0;1;510;0;;
