;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.016;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
11 Feb.;;0;0;4;0;0;;0;0;;0;;0;4;2;;0;;0;1;0;;0;;;0;0;0;;0;0;;26;0;0;0;0;0;0;0;0;;0;0;;0;0;1;38;0;;
12 Feb.;;0;0;4;0;0;;0;0;;0;;0;1;0;;0;;0;1;0;;0;;;0;0;0;;0;0;;13;0;0;0;0;0;0;0;0;;0;0;;0;0;0;19;0;;
13 Feb.;;0;0;11;0;0;;0;0;;0;;0;5;8;;0;;1;5;0;;0;;;0;0;0;;0;0;;48;0;0;0;0;0;0;0;0;;0;0;;0;0;2;80;0;;
14 Feb.;;0;0;4;0;0;;0;0;;0;;0;1;3;;0;;0;0;0;;0;;;0;0;0;;0;0;;39;0;0;0;0;0;0;0;1;;0;0;;0;0;0;48;0;;
15 Feb.;;0;0;2;0;0;;0;0;;0;;0;1;1;;0;;0;1;1;;0;;;0;0;0;;0;0;;18;0;0;0;0;0;0;0;0;;0;0;;0;0;1;25;0;;
16 Feb.;;0;0;4;0;0;;0;0;;0;;0;2;0;;0;;0;1;1;;0;;;0;0;0;;0;0;;20;0;0;0;0;0;0;0;0;;0;0;;0;0;1;29;0;;
17 Feb.;;0;0;6;0;0;;0;0;;0;;0;7;3;;0;;0;0;2;;0;;;0;0;0;;0;0;;316;0;0;0;0;0;0;0;0;;0;0;;0;0;1;335;0;;
18 Feb.;;0;0;1;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;5;0;0;0;0;0;0;0;0;;0;0;;0;0;0;8;0;;
19 Feb.;;0;0;8;0;0;;0;0;;0;;0;4;1;;0;;0;1;0;;0;;;0;0;0;;0;0;;49;0;0;0;0;0;0;0;5;;0;0;;0;0;1;69;0;;
20 Feb.;;0;0;15;0;0;;0;0;;0;;0;4;7;;0;;0;1;0;;0;;;0;0;0;;0;0;;86;0;0;0;0;0;0;0;4;;0;0;;0;0;2;119;0;;
21 Feb.;;0;0;59;0;0;;0;0;;0;;0;36;77;;0;;0;1;1;;0;;;0;0;0;;0;0;;437;0;0;4;1;2;0;0;7;;0;1;;1;0;1;628;0;;
22 Feb.;;0;0;19;1;0;;0;0;;0;;0;3;10;;0;;0;1;0;;0;;;0;0;0;;1;0;;52;0;0;1;1;1;0;0;1;;0;0;;0;0;2;93;1;;
23 Feb.;;0;0;16;0;0;;0;0;;0;;0;4;6;;0;;0;1;0;;0;;;0;0;0;;0;0;;89;0;0;1;0;0;0;0;4;;0;0;;2;0;2;125;0;;
24 Feb.;;0;0;10;0;0;;0;0;;0;;0;14;11;;0;;0;1;1;;0;;;0;0;0;;6;0;;746;0;0;0;1;1;0;0;2;;0;0;;0;0;1;794;0;;
25 Feb.;;0;0;2;0;0;;0;0;;0;;0;1;6;;2;;0;0;0;;0;;;0;0;0;;0;0;;57;0;0;0;0;1;0;0;0;;0;0;;0;0;0;69;0;;
26 Feb.;;0;0;12;0;0;;0;0;;0;;0;5;4;;0;;0;1;1;;0;;;0;0;0;;1;0;;293;0;0;0;0;0;0;0;1;;0;0;;1;0;1;320;0;;
27 Feb.;;0;0;4;0;0;;0;1;;0;;0;1;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;10;0;;
28 Feb.;;0;0;11;0;0;;0;0;;0;;0;1;2;;0;;0;1;0;;0;;;0;0;0;;0;0;;1;0;0;0;1;0;0;0;4;;0;0;;0;0;0;21;0;;
29 Feb;;0;0;1;0;0;;0;0;;0;;0;1;2;;0;;0;0;0;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;0;;0;;
1 Mar.;;0;0;13;0;0;;0;0;;0;;0;2;11;;0;;0;1;0;;0;;;0;0;0;;0;0;;13;0;0;2;0;0;0;0;1;;0;0;;0;0;1;44;0;;
2 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;6;;0;;0;1;0;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;0;10;0;;
3 Mar.;;0;0;10;0;0;;0;0;;0;;0;2;5;;0;;0;1;0;;0;;;0;0;0;;0;0;;154;0;0;0;0;1;0;0;0;;0;0;;0;0;2;175;0;;
4 Mar.;;0;0;5;0;0;;0;0;;0;;0;4;2;;0;;0;3;0;;0;;;0;0;0;;0;0;;100;0;0;1;0;0;0;0;0;;0;0;;0;0;2;117;0;;
