;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.016;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
9   Feb.;;0;0;20;0;0;;0;0;;0;;0;8;6;;0;;0;0;1;;0;;;0;0;0;;0;0;;19;0;0;0;0;1;0;0;2;;0;0;;0;0;0;57;1;;
10 Feb.;;0;0;1;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;;
11 Feb.;;0;0;2;0;0;;0;0;;0;;0;2;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;1;;0;0;;0;0;0;7;0;;
12 Feb.;;0;0;1;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;;
13 Feb.;;0;0;6;0;0;;0;0;;0;;0;2;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;37;0;0;0;0;3;0;0;1;;0;0;;0;0;0;50;0;;
14 Feb.;;0;0;4;0;0;;0;0;;0;;0;5;0;;0;;0;2;0;;0;;;0;0;0;;1;0;;34;0;0;0;0;0;0;0;1;;0;0;;0;0;0;47;0;;
15 Feb.;;0;0;13;0;0;;0;0;;0;;0;4;2;;0;;0;0;3;;0;;;0;0;0;;0;0;;4;0;0;0;0;0;0;0;0;;0;0;;0;0;0;26;1;;
16 Feb.;;0;0;14;0;0;;0;0;;0;;0;0;1;;0;;0;0;2;;0;;;0;0;0;;0;0;;1;0;0;0;0;1;0;0;0;;0;0;;0;0;0;19;0;;
17 Feb.;;0;0;21;0;0;;0;0;;0;;0;7;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;31;0;0;1;0;1;0;0;1;;0;0;;0;0;0;63;0;;
18 Feb.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;;
