Fecha;Ciudad;Año;Platanus;Corylus;Cupress/Taxaceae;Alnus;Ulmus;Populus;Betula;Quercus;Olea;Poaceae;Urticaceae;Plantago;Castanea;Alternaria;Pinus;Fraxinus;Salix;Ligustrum;Chenopo/Amarant
12 Mar.;Bilbao;2014;0.0;15.0;67.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;217.0;26.0;23.0;0.0;0.0
13 Mar.;Bilbao;2014;0.0;11.0;156.0;2.0;2.0;5.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;1.0;71.0;31.0;5.0;0.0;0.0
14 Mar.;Bilbao;2014;1.0;4.0;20.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;0.0;1.0;8.0;13.0;1.0;0.0;0.0
15 Mar.;Bilbao;2014;1.0;1.0;5.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;5.0;5.0;1.0;0.0;0.0
16 Mar.;Bilbao;2014;1.0;2.0;17.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;8.0;6.0;1.0;0.0;0.0
17 Mar.;Bilbao;2014;1.0;5.0;30.0;2.0;2.0;0.0;1.0;1.0;0.0;1.0;10.0;0.0;0.0;1.0;40.0;12.0;2.0;0.0;0.0
18 Mar.;Bilbao;2014;1.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;11.0;3.0;0.0;0.0;0.0
19 Mar.;Bilbao;2014;2.0;10.0;119.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;28.0;37.0;3.0;0.0;0.0
20 Mar.;Bilbao;2014;1.0;20.0;68.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;14.0;1.0;0.0;1.0;64.0;19.0;19.0;0.0;0.0
21 Mar.;Bilbao;2014;5.0;12.0;74.0;0.0;2.0;0.0;4.0;1.0;0.0;2.0;5.0;1.0;0.0;0.0;47.0;17.0;14.0;0.0;0.0
22 Mar.;Bilbao;2014;10.0;4.0;9.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;28.0;13.0;14.0;0.0;0.0
23 Mar.;Bilbao;2014;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;9.0;0.0;0.0;0.0
24 Mar.;Bilbao;2014;8.0;0.0;5.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;18.0;4.0;1.0;0.0;0.0
25 Mar.;Bilbao;2014;3.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0
26 Mar.;Bilbao;2014;4.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;3.0;1.0;4.0;0.0;0.0
